filename,algo,SPARSE,best_fuse,best_swap,init_cluster_size,nr_nodes_shaking1,nr_nodes_shaking2,max_iter,vnd_grasp,time,obj_val
../data/datasets/inst_tuning/heur059_n_300_m_7867.txt,vnd,false,false,false,false,100,10,20,819.1941847801208,12061,
../data/datasets/inst_tuning/heur060_n_300_m_12405.txt,vnd,false,false,false,false,100,10,20,591.6915500164032,18863,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,false,false,100,10,20,9.822654008865356,18464,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,false,100,10,20,27.838462114334106,31434,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,false,false,100,10,20,3.4908719062805176,6692,
../data/datasets/inst_test/heur003_n_120_m_2588.txt,grasp,false,false,false,false,100,10,20,24.01447081565857,4134,
../data/datasets/inst_test/heur004_n_140_m_3014.txt,grasp,false,false,false,false,100,10,20,56.74938893318176,5066,
../data/datasets/inst_test/heur005_n_160_m_4015.txt,grasp,false,false,false,false,100,10,20,110.99878692626953,6841,
../data/datasets/inst_test/heur006_n_180_m_6067.txt,grasp,false,false,false,false,100,10,20,102.05050897598267,9936,
../data/datasets/inst_test/heur007_n_200_m_6731.txt,grasp,false,false,false,false,100,10,20,322.6466131210327,11922,
../data/datasets/inst_test/heur008_n_250_m_1045.txt,grasp,false,false,false,false,100,10,20,2288.979642868042,1146,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,grasp,false,false,false,false,100,10,20,846.547217130661,6692,

