filename,algo,SPARSE,best_fuse,best_swap,init_cluster_size,nr_nodes_shaking1,nr_nodes_shaking2,max_iter,vnd_grasp,time,obj_val
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,grasp,false,false,false,false,100,10,20,true,2342.201075077057,18462,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,grasp,false,false,false,false,100,10,20,true,1374.4558589458466,31291,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,grasp,false,false,false,false,100,10,20,true,199.3463158607483,6692,
