inst_file,N,T,max_useless_gens,overlap,selected_percentage,recomb_meth,n_elites,selection_pressure,time,obj_val
heur041_n_300_m_17492.txt,5,0,100,0.2,0.5,1.0,1,1.9,4.628082990646362,7864
heur044_n_300_m_3234.txt,5,0,100,0.2,0.5,1.0,1,1.9,2.6032841205596924,4799
heur048_n_300_m_14666.txt,5,0,100,0.2,0.5,1.0,1,1.9,9.754040002822876,34178
heur052_n_300_m_26628.txt,5,0,100,0.2,0.5,1.0,1,1.9,3.9025909900665283,39925
heur053_n_300_m_39861.txt,5,0,100,0.2,0.5,1.0,1,1.9,0.570857048034668,11877
heur055_n_300_m_5164.txt,5,0,100,0.2,0.5,1.0,1,1.9,1.9103939533233643,5716
heur058_n_300_m_4010.txt,5,0,100,0.2,0.5,1.0,1,1.9,4.758858919143677,7337
heur060_n_300_m_12405.txt,5,0,100,0.2,0.5,1.0,1,1.9,3.7364959716796875,24359
heur041_n_300_m_17492.txt,10,0,100,0.2,0.5,1.0,1,1.9,7.62958288192749,9929
heur044_n_300_m_3234.txt,10,0,100,0.2,0.5,1.0,1,1.9,7.974782943725586,4139
heur048_n_300_m_14666.txt,10,0,100,0.2,0.5,1.0,1,1.9,16.4583101272583,33549
heur052_n_300_m_26628.txt,10,0,100,0.2,0.5,1.0,1,1.9,3.328929901123047,37071
heur053_n_300_m_39861.txt,10,0,100,0.2,0.5,1.0,1,1.9,0.78597092628479,13254
heur055_n_300_m_5164.txt,10,0,100,0.2,0.5,1.0,1,1.9,6.59139609336853,5857
heur058_n_300_m_4010.txt,10,0,100,0.2,0.5,1.0,1,1.9,11.010308980941772,6576
heur060_n_300_m_12405.txt,10,0,100,0.2,0.5,1.0,1,1.9,14.43132495880127,22314
heur041_n_300_m_17492.txt,20,0,100,0.2,0.5,1.0,1,1.9,19.240710020065308,7764
heur044_n_300_m_3234.txt,20,0,100,0.2,0.5,1.0,1,1.9,14.933503866195679,4338
heur048_n_300_m_14666.txt,20,0,100,0.2,0.5,1.0,1,1.9,28.532344102859497,31767
heur052_n_300_m_26628.txt,20,0,100,0.2,0.5,1.0,1,1.9,8.32822299003601,32763
heur053_n_300_m_39861.txt,20,0,100,0.2,0.5,1.0,1,1.9,6.714321851730347,12181
heur055_n_300_m_5164.txt,20,0,100,0.2,0.5,1.0,1,1.9,15.354117155075073,5398
heur058_n_300_m_4010.txt,20,0,100,0.2,0.5,1.0,1,1.9,26.930591106414795,6922
heur060_n_300_m_12405.txt,20,0,100,0.2,0.5,1.0,1,1.9,33.67410707473755,20507
heur041_n_300_m_17492.txt,50,0,100,0.2,0.5,1.0,1,1.9,37.45984101295471,7357
